ID,GLUE Score,Synaptic Diversity,Synaptic Diversity Normalized,Synaptic Saliency,Synaptic Saliency Normalized,Activation Distance,Activation Distance Normalized,Jacobian Score,Jacobian Score Normalized,Number of Parameters,Head Importance,Head Importance Normalized,Head Confidence,Head Confidence Normalized,Head Softmax Confidence,Head Softmax Confidence Normalized
32,68.20375,0.0,nan,0.013710318133234978,0.0017137897666543722,961428608.0,160238112.0,-100667.29099739077,0.55049410202613,9651456,0.007088491227477789,0.0014176982222124934,1.4277091026306152,0.285541832447052,0.06302762776613235,0.03151381388306618
33,70.8475,0.0,nan,0.029304485768079758,0.002442040480673313,1217478400.0,152184800.0,-100635.63213451578,0.5592778721873264,10835200,0.02087748423218727,0.002982497913762927,5.242719650268555,0.7489599585533142,0.048696331679821014,0.012174082919955254
34,69.995,0.0,nan,0.03217141330242157,0.0022979581262916327,1601324160.0,160132416.0,-100349.05996315005,0.5555635241379009,13468307,0.011929343454539776,0.0007952895830385387,7.928316593170166,0.6098705530166626,0.008091607131063938,0.0020229017827659845
35,56.792500000000004,0.0,nan,0.005284121260046959,0.0006605151575058699,880187136.0,146697856.0,-100431.85781308984,0.567801984106457,9557650,0.0065550790168344975,0.0013110158033668995,3.0575339794158936,0.7643834948539734,0.017621304839849472,0.008810652419924736
36,74.45375,0.0,nan,0.013995097018778324,0.001166258123703301,1125518720.0,140689840.0,-100449.35927504701,0.5642676897027528,11103498,0.006773042492568493,0.0005644202465191483,6.955013751983643,0.6955013871192932,0.0670621246099472,0.0167655311524868
37,72.00375,0.0,nan,0.012307454831898212,0.0008791039581410587,1379147520.0,137914752.0,-100428.5273331553,0.5655963637497924,13395712,0.0068975454196333885,0.0005747954710386693,9.276558876037598,0.773046612739563,0.06721258908510208,0.01680314727127552
38,68.06875,0.0,nan,0.028305772691965103,0.002830577315762639,879209600.0,146534944.0,-100521.12452085811,0.5631705119759294,8902917,0.019487882032990456,0.0019487881800159812,7.134870529174805,0.7927634119987488,0.08002650737762451,0.020006626844406128
39,68.1775,0.0,nan,0.014836007729172707,0.0018545009661465883,962893504.0,160482256.0,-100687.44604376215,0.5514886953720473,9651456,0.006367100402712822,0.0012734200572595,1.4277623891830444,0.2855524718761444,0.06277371197938919,0.031386855989694595
40,73.07125,0.0,nan,0.03460713103413582,0.0034607131965458393,908055936.0,151342656.0,-100601.76231580111,0.5632267148151486,8933888,0.019017867743968964,0.0021130964159965515,4.765100955963135,0.5294556617736816,0.08055360615253448,0.02013840153813362
41,64.94624999999999,0.0,nan,0.026244554668664932,0.004374092444777489,648653120.0,162163280.0,-100349.67111012779,0.5579585331438262,7720713,0.007645710371434689,0.0009557137964293361,2.959197521209717,0.4227425158023834,0.00390799343585968,0.00195399671792984
42,72.58375000000001,0.0,nan,0.04366498813033104,0.003118927823379636,1611264896.0,161126496.0,-100351.02413163347,0.5582045455620535,13564169,0.01471647433936596,0.0009810983901843429,8.070111274719238,0.5764365196228027,0.007943497970700264,0.001985874492675066
43,67.51875000000001,0.0,nan,0.017718657851219177,0.002953109797090292,639352192.0,159838048.0,-100692.30394768972,0.5490723011657359,7457289,0.007588587701320648,0.0015177176101133227,1.3467190265655518,0.33667975664138794,0.017514556646347046,0.008757278323173523
44,73.45375,0.0,nan,0.026904292404651642,0.0019217352382838726,1549803648.0,154980368.0,-100617.12411052323,0.5564700782564181,12868864,0.02013525180518627,0.003355875378474593,4.966555595397949,0.8277592658996582,0.09417013078927994,0.023542532697319984
45,67.46125,0.0,nan,0.027352355420589447,0.004558726213872433,606524864.0,151631216.0,-100584.1653482921,0.5584763771312053,7288832,0.018032703548669815,0.009016351774334908,1.1278631687164307,0.5639315843582153,0.12166430056095123,0.060832150280475616
46,66.2375,0.0,nan,0.02899598702788353,0.004832664504647255,637480128.0,159370032.0,-100348.96972623137,0.5531392795494454,7654282,0.006860831286758184,0.0009801187552511692,2.9798686504364014,0.4966447949409485,0.004010670352727175,0.0020053351763635874
47,60.3175,0.0,nan,0.024576354771852493,0.004096059128642082,601367936.0,150341984.0,-100473.64471484389,0.5624907707519856,7288832,0.015029437839984894,0.007514718919992447,1.1392784118652344,0.5696392059326172,0.03111206367611885,0.015556031838059425
48,73.22375,0.0,nan,0.051563162356615067,0.004296930506825447,1292017920.0,161502240.0,-100354.26407189171,0.5539719468907849,11335058,0.01390291191637516,0.0010694548254832625,7.771903991699219,0.6476587057113647,0.008246812969446182,0.0020617032423615456
49,67.2375,0.0,nan,0.021260863170027733,0.0035434772726148367,629861056.0,157465264.0,-100354.47143935415,0.5558848277949942,7626907,0.005842763930559158,0.0007303454913198948,3.035937786102295,0.505989670753479,0.004002074245363474,0.002001037122681737
50,71.9025,0.0,nan,0.016513723880052567,0.0013761436566710472,1175337472.0,146917184.0,-100442.56508227345,0.5677000420161327,11103498,0.007388024590909481,0.0006156687159091234,7.038216590881348,0.7038216590881348,0.02154138684272766,0.005385346710681915
51,73.31,0.0,nan,0.0415145605802536,0.0034595467150211334,1230960640.0,153870080.0,-100329.18536472521,0.559716948550743,11275301,0.010228325612843037,0.000681888428516686,8.186037063598633,0.6821697950363159,0.0080103175714612,0.0020025793928653
52,67.39750000000001,0.0,nan,0.009759711101651192,0.0016266185557469726,548549120.0,137137280.0,-100433.66755913556,0.564476330528894,7552256,0.006369469221681356,0.0012738938676193357,3.3403186798095703,0.668063759803772,0.06297305226325989,0.031486526131629944
53,69.305,0.0,nan,0.02119625173509121,0.0021196252200752497,868490880.0,144748480.0,-100700.01109364835,0.5640351256552694,8837381,0.01569014973938465,0.0017433499451726675,6.853574275970459,0.8566967844963074,0.0803726464509964,0.0200931616127491
54,73.505,0.0,nan,0.017364975064992905,0.00144708133302629,1250040832.0,156255104.0,-100692.86479839798,0.5641739362671641,10967552,0.014132135547697544,0.001766516943462193,5.1636176109313965,0.6454522013664246,0.08051799237728119,0.020129498094320297
55,65.5175,0.0,nan,0.041820526123046875,0.010455131530761719,325589952.0,162794976.0,-100359.21894330023,0.5582219507773825,5554437,0.007118650246411562,0.001016950118355453,2.9326751232147217,0.4887791872024536,0.003998571075499058,0.001999285537749529
56,68.79875,0.0,nan,0.035943903028964996,0.0035943903494626284,898651008.0,149775168.0,-100891.52113162573,0.5527783536424633,8640138,0.024615297093987465,0.0035164712462574244,3.314635753631592,0.5524393320083618,0.18492871522903442,0.046232178807258606
